"id_proposal","mean_overall_grade","raw_rank_overall","rank_pm_overall","er_overall","pcer_overall","qualifies_original","mean_criterion_average","raw_rank_criterion","rank_pm_criterion","er_criterion","pcer_criterion","delta_rank_pm","abs_delta_rank_pm","delta_er","abs_delta_er","rank_pm_changed"
"P021",3,32.5,34,24.200685,56.4302023809524,FALSE,2.5,40.5,39,32.09218,75.2194761904762,5,5,7.891495,7.891495,TRUE
"P042",3,32.5,36,24.294145,56.6527261904762,FALSE,2.5,40.5,40,32.13985,75.3329761904762,4,4,7.845705,7.845705,TRUE
"P003",3.5,21.5,19,21.2371,49.3740476190476,FALSE,2.875,37,37,28.108975,65.7356547619048,18,18,6.871875,6.871875,TRUE
"P001",3,32.5,29,23.85245,55.6010714285714,FALSE,2.625,38,38,30.32849,71.0202142857143,9,9,6.47604,6.47604,TRUE
"P040",4,10,6,18.433855,42.6996547619048,FALSE,4.375,5.5,4,12.19037,27.8342142857143,-2,2,-6.243485,6.243485,TRUE
"P020",3.5,21.5,20,21.2364,49.372380952381,FALSE,3,34.5,34,27.31867,63.8539761904762,14,14,6.08227,6.08227,TRUE
"P029",4,10,8,18.49604,42.8477142857143,FALSE,4.375,5.5,5,12.742545,29.1489166666667,-3,3,-5.753495,5.753495,TRUE
"P019",2.5,39.5,41,27.237455,63.6606071428571,FALSE,2.5,40.5,42,32.985115,77.3455119047619,1,1,5.74766,5.74766,TRUE
"P016",4,10,11,18.734585,43.4156785714286,FALSE,4.375,5.5,6,13.745325,31.5364880952381,-5,5,-4.98926,4.98926,TRUE
"P038",4,10,10,18.720435,43.3819880952381,FALSE,4.375,5.5,7,13.735905,31.5140595238095,-3,3,-4.98453,4.98453,TRUE
"P022",5,1,1,13.079265,29.950630952381,TRUE,4.75,1,1,8.771965,19.6951547619048,0,0,-4.3073,4.3073,FALSE
"P032",4.5,3,2,15.870785,36.5971071428571,TRUE,4.5,2.5,2,11.58992,26.4045714285714,0,0,-4.280865,4.280865,FALSE
"P041",4.5,3,4,16.21879,37.4256904761905,TRUE,4.5,2.5,3,12.013385,27.4128214285714,-1,1,-4.205405,4.205405,TRUE
