"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"proposal_intercept[1]",-0.635573,-0.0174603,0.49042,-0.0527064302653312,0.262774536052191,NA,0.00327321947939858,1.2,6445,0.146543831754385,1.00068983893636
"proposal_intercept[2]",-0.572647,0.0002888395,0.542584,0.00208101629958006,0.256962308739283,NA,0.00229785064295927,0.9,12505,0.106143861746587,1.00102735195718
"proposal_intercept[3]",-0.51476,0.00621252,0.584705,0.0187636742013669,0.256293240434657,NA,0.00265865125529162,1,9293,0.107474971987444,1.00050283079512
"proposal_intercept[4]",-0.662599,-0.02687795,0.480577,-0.0688236517768291,0.267313506906798,NA,0.00339235406706692,1.3,6209,0.152872221376393,1.00073875577969
"proposal_intercept[5]",-1.10937,-0.182003,0.256888,-0.296910512599451,0.377109381119386,NA,0.00829645600392736,2.2,2066,0.492990101498363,1.00101942735707
"proposal_intercept[6]",-0.685464,-0.0318835,0.424541,-0.0754632888743655,0.261089784020557,NA,0.00271061155974046,1,9278,0.13077259661345,1.0000436584463
"proposal_intercept[7]",-0.662645,-0.03124765,0.461371,-0.075440751562293,0.264155279299601,NA,0.00304198054822098,1.2,7541,0.160255248687376,1.00120254180861
"proposal_intercept[8]",-0.862496,-0.09307385,0.31444,-0.173553031065525,0.29953033282383,NA,0.00475332352963565,1.6,3971,0.301846289436197,1.0004564342853
"proposal_intercept[9]",-0.417855,0.0349105,0.704618,0.0875984981599633,0.270985809780481,NA,0.00330731252587059,1.2,6713,0.181729751088894,1.00088689783352
"proposal_intercept[10]",-0.677716,-0.02919605,0.433457,-0.0731527130312433,0.26092013019416,NA,0.00254507955830541,1,10510,0.128547184670389,1.00009223676587
"proposal_intercept[11]",-0.569327,-0.001799255,0.543357,-0.0102990482523711,0.258419129876672,NA,0.00265739073246663,1,9457,0.120289975426486,1.00046159468236
"proposal_intercept[12]",-0.474501,0.0171966,0.6223,0.0510185278328762,0.256569075444615,NA,0.00225407407357724,0.9,12956,0.103889337355576,1.00025865723979
"proposal_intercept[13]",-0.802833,-0.05535085,0.375185,-0.12201988350541,0.285665414139479,NA,0.0038232185598578,1.3,5583,0.226250158480258,1.00299032937118
"proposal_intercept[14]",-0.543424,0.001769435,0.556404,0.00619281799280673,0.257519256089749,NA,0.0023217338612572,0.9,12303,0.100746667488031,1.00092635850326
"proposal_intercept[15]",-0.772773,-0.06175545,0.376735,-0.131297792181842,0.286782660577627,NA,0.00431602161298074,1.5,4415,0.249770659397885,1.00161249712664
"proposal_intercept[16]",-0.45705,0.02750635,0.683773,0.0748692576197374,0.268045432644494,NA,0.0036953520241369,1.4,5261,0.169535321934873,1.00053914289309
"proposal_intercept[17]",-0.443259,0.01854235,0.65104,0.0546127940704539,0.25851980365423,NA,0.00266108927584423,1,9438,0.11649010530978,1.00023754098402
"proposal_intercept[18]",-0.564761,2.85315e-05,0.554014,-0.0025935922489015,0.259181503278501,NA,0.00244670971313577,0.9,11221,0.102222294579836,1.00064612849232
"proposal_intercept[19]",-0.896375,-0.0992915,0.333695,-0.18691174866597,0.312466647641542,NA,0.0056739040787205,1.8,3033,0.344450371509893,1.00117442496889
"proposal_intercept[20]",-0.533648,0.00276885,0.581235,0.00737458261865513,0.257869319080825,NA,0.00256346508892139,1,10119,0.111647201797026,1.0000366153919
"proposal_intercept[21]",-0.695614,-0.03113155,0.444832,-0.0789701097312208,0.271263281193214,NA,0.0035722041584411,1.3,5766,0.181579698602394,1.0003648871252
"proposal_intercept[22]",-0.211642,0.1772435,1.16754,0.297861839347842,0.380081743729766,NA,0.0085339983016608,2.2,1984,0.49815112184371,1.00079391548466
"proposal_intercept[23]",-0.314984,0.08921845,0.88029,0.169672134123824,0.29900972878579,NA,0.00456667813487662,1.5,4287,0.290897797513398,1.00140247433971
"proposal_intercept[24]",-0.518988,0.005042805,0.600482,0.018075124185303,0.258781964557155,NA,0.00294450250474021,1.1,7724,0.110341126731462,1.00031807951573
"proposal_intercept[25]",-0.682603,-0.0257377,0.465273,-0.0681175832192319,0.265343400664976,NA,0.00266774774360827,1,9893,0.144943398467498,1.0012015944143
"proposal_intercept[26]",-0.758536,-0.05624725,0.370783,-0.119986816099783,0.276797451409417,NA,0.00388426993271271,1.4,5078,0.202686889350171,1.0006634403108
"proposal_intercept[27]",-0.579445,-0.006340705,0.519568,-0.0236022518955153,0.258191096711098,NA,0.00262876023335544,1,9647,0.1022674961044,1.00096398650004
"proposal_intercept[28]",-0.41489,0.0415276,0.709282,0.0966746057881937,0.270897430108615,NA,0.00334019013204631,1.2,6578,0.167581318227058,1.00037184557132
"proposal_intercept[29]",-0.439416,0.0318345,0.694481,0.0821372681153498,0.269043118549543,NA,0.00298937007068386,1.1,8100,0.164264086460126,1.00055350574076
"proposal_intercept[30]",-0.51765,0.003337655,0.59255,0.0154724219597533,0.257246283528106,NA,0.00221062357139517,0.9,13542,0.0988898938104368,1.00084921161562
"proposal_intercept[31]",-0.610952,-0.002929655,0.489942,-0.0145103682688497,0.253709962235335,NA,0.00216106457298959,0.9,13783,0.0855059661628862,1.00045242487667
"proposal_intercept[32]",-0.326256,0.08525885,0.861039,0.169762594927112,0.301954378299133,NA,0.00507022545400102,1.7,3547,0.298145070035269,1.000159167564
"proposal_intercept[33]",-0.602014,-0.00916309,0.518621,-0.0258604150527886,0.260546337967446,NA,0.00303373918384782,1.2,7376,0.104799922206781,1.00096100722
"proposal_intercept[34]",-0.426835,0.03732375,0.711017,0.0912260891259901,0.271774802671267,NA,0.00315897266915914,1.2,7402,0.168842047951095,1.00068239223755
"proposal_intercept[35]",-0.45929,0.02639015,0.70525,0.0749057583906245,0.279107618820812,NA,0.00318081597537834,1.1,7700,0.196566857068527,1.00772917283195
"proposal_intercept[36]",-0.481794,0.01216055,0.615877,0.040241230103687,0.257915746607228,NA,0.00219000568996383,0.8,13870,0.0941140075858538,1.00030394149492
"proposal_intercept[37]",-0.533091,0.0002128665,0.573811,0.00494114638821424,0.258610111447424,NA,0.00266109524885184,1,9444,0.119339773950522,1.0005810589119
"proposal_intercept[38]",-0.452677,0.02807735,0.657544,0.071185541902732,0.262873282547322,NA,0.00282996976566817,1.1,8628,0.137861021457675,1.00023839451041
"proposal_intercept[39]",-0.502309,0.00845339,0.595172,0.0304128433891692,0.257062214728424,NA,0.0023780542421558,0.9,11685,0.0977118462673544,1.0003206965889
"proposal_intercept[40]",-0.421079,0.03791685,0.7059,0.0904299828556508,0.270191296463039,NA,0.0035741177435899,1.3,5715,0.18497442886704,1.00038226077859
"proposal_intercept[41]",-0.351732,0.06397235,0.81432,0.134921446408834,0.287306651191047,NA,0.0040304986836144,1.4,5081,0.243625148597175,1.00141300486747
"proposal_intercept[42]",-0.675629,-0.0335511,0.44853,-0.083529438689902,0.267070913505698,NA,0.00317063081850082,1.2,7095,0.153475992420782,1.00026980567162
"tau_proposal",4.78604e-05,0.243713,0.551183,0.257538606243535,0.166208355926629,NA,0.00511627622103981,3.1,1055,0.838732445567135,1.00114095472791
"tau_assessor",0.0326741,0.629822,0.990077,0.579006132648925,0.28592724215794,NA,0.012778994998854,4.5,501,0.910998276346861,1.00125464666057
"rank_theta[1]",4,24,42,23.455175,11.6033683330873,35,0.0926645345511958,0.8,15680,0.0628178851412583,1.00018372848564
"rank_theta[2]",1,21,40,21.4077,11.6222806559294,24,0.0819100930713542,0.7,20133,0.0548226796534743,1.00016020143564
"rank_theta[3]",1,20,40,20.735575,11.68194830143,15,0.0827228818922065,0.7,19942,0.0519547580950317,1.00045411756629
"rank_theta[4]",4,25,42,24.11025,11.6412942979216,39,0.110933605406114,1,11012,0.0714892128915484,1.00031207061425
"rank_theta[5]",8,35,42,31.171175,10.9918103430115,42,0.178934439792811,1.6,3774,0.218691857334077,1.00029042622932
"rank_theta[6]",3,26,41,24.315925,11.4726808965714,41,0.0809824155756819,0.7,20070,0.0545034217115629,1.00000968662768
"rank_theta[7]",4,26,42,24.3998500000001,11.5060366633993,37,0.0938239633630954,0.8,15039,0.0701338703545018,1.0002723817345
"rank_theta[8]",6,30,42,27.75135,11.3754498020495,42,0.131165421766345,1.2,7521,0.125085346896384,1.00000736352394
"rank_theta[9]",1,17,39,18.28915,11.5938993759678,2,0.0997110965072511,0.9,13520,0.0775085595364135,1.00021086024022
"rank_theta[10]",4,25,42,24.253575,11.5894535076156,39,0.0919213562015724,0.8,15896,0.0653187692077921,1.00003219791619
"rank_theta[11]",1,22,40,21.88605,11.6244653039327,16,0.0895281373823895,0.8,16859,0.0551402805656653,1.00009216771998
"rank_theta[12]",1,19,39,19.5777,11.4783015509771,9,0.0743026497961778,0.6,23864,0.045199755233995,1.00002178547881
"rank_theta[13]",5,28,42,25.867,11.5368946644435,42,0.108795608931444,0.9,11245,0.0832567104636949,1.00009755333756
"rank_theta[14]",1,21,40,21.216375,11.6255896933338,10,0.0887390341962039,0.8,17163,0.0529129846106188,1.0002743201872
"rank_theta[15]",5,28,42,26.254075,11.4444001700289,42,0.109915173480453,1,10841,0.0890809659173062,1.00015175783145
"rank_theta[16]",1,18,39,18.76995,11.6434623825087,3,0.112740142010129,1,10666,0.0682099042072443,1.00027795564265
"rank_theta[17]",1,19,39,19.51545,11.5888143834031,3,0.0884026885872154,0.8,17185,0.0608907392467978,1.00008327451835
"rank_theta[18]",1,22,40,21.5211999999999,11.717016803439,22,0.0828203121574104,0.7,20015,0.0534215259765819,1.0006279888933
"rank_theta[19]",6,31,42,28.09295,11.3314593211452,42,0.129886321026151,1.1,7611,0.13506674081183,1.00008462382302
"rank_theta[20]",1,21,40,21.100875,11.6657255009326,17,0.0882102355256879,0.8,17490,0.052546727605903,0.999993864459292
"rank_theta[21]",4,26,42,24.401875,11.6328201459055,39,0.101576760161264,0.9,13115,0.0754819632595241,1.00018667954745
