"id_proposal","raw_mean","raw_rank","rank_pm_v0","er_v0","pcer_v0","qualifies_original","rank_pm_v1","er_v1","pcer_v1","delta_rank_pm","delta_er","abs_delta_rank_pm","abs_delta_er","rank_pm_changed"
"P006",3,32.5,34,24.365485,56.8225833333333,FALSE,31,24.13848,56.2820952380952,-3,-0.227004999999998,3,0.227004999999998,TRUE
"P014",3.5,21.5,20,21.214425,49.3200595238095,FALSE,23,21.349665,49.6420595238095,3,0.135240000000003,3,0.135240000000003,TRUE
"P003",3.5,21.5,17,20.77295,48.2689285714286,FALSE,19,21.2371,49.3740476190476,2,0.46415,2,0.46415,TRUE
"P030",3.5,21.5,19,20.90321,48.5790714285714,FALSE,17,21.147555,49.1608452380952,-2,0.244344999999999,2,0.244344999999999,TRUE
"P007",3,32.5,33,24.429455,56.9748928571429,FALSE,35,24.28193,56.6236428571429,2,-0.147525000000002,2,0.147525000000002,TRUE
"P038",4,10,12,18.831785,43.6471071428571,FALSE,10,18.720435,43.3819880952381,-2,-0.111350000000002,2,0.111350000000002,TRUE
"P020",3.5,21.5,22,21.14026,49.1434761904762,FALSE,20,21.2364,49.372380952381,-2,0.0961399999999983,2,0.0961399999999983,TRUE
"P002",3.5,21.5,23,21.408815,49.7828928571429,FALSE,21,21.359385,49.6652023809524,-2,-0.049430000000001,2,0.049430000000001,TRUE
"P027",3,32.5,27,22.481025,52.3357738095238,FALSE,28,23.59188,54.9806666666667,1,1.110855,1,1.110855,TRUE
"P033",3.5,21.5,28,22.58491,52.583119047619,FALSE,27,21.81037,50.7389761904762,-1,-0.774540000000002,1,0.774540000000002,TRUE
"P012",4,10,14,19.49293,45.2212619047619,FALSE,13,18.90756,43.8275238095238,-1,-0.585370000000001,1,0.585370000000001,TRUE
"P017",4,10,13,19.52195,45.2903571428571,FALSE,14,18.94728,43.9220952380952,1,-0.574670000000001,1,0.574670000000001,TRUE
"P023",4.5,3,2,15.44817,35.590880952381,TRUE,3,15.87305,36.6025,1,0.42488,1,0.42488,TRUE
"P031",3.5,21.5,26,21.935955,51.0379880952381,FALSE,25,21.526115,50.0621785714286,-1,-0.409839999999999,1,0.409839999999999,TRUE
"P032",4.5,3,3,15.489685,35.6897261904762,TRUE,2,15.870785,36.5971071428571,-1,0.3811,1,0.3811,TRUE
"P040",4,10,7,18.10519,41.917119047619,FALSE,6,18.433855,42.6996547619048,-1,0.328665000000001,1,0.328665000000001,TRUE
"P011",3.5,21.5,25,21.88793,50.9236428571429,FALSE,26,21.59836,50.2341904761905,1,-0.289570000000001,1,0.289570000000001,TRUE
"P009",4,10,8,18.307745,42.3993928571429,FALSE,9,18.576795,43.0399880952381,1,0.26905,1,0.26905,TRUE
"P034",4,10,6,18.221225,42.1933928571429,FALSE,7,18.48697,42.826119047619,1,0.265744999999999,1,0.265744999999999,TRUE
"P029",4,10,9,18.33408,42.4620952380952,FALSE,8,18.49604,42.8477142857143,-1,0.161960000000001,1,0.161960000000001,TRUE
"P021",3,32.5,35,24.357355,56.8032261904762,FALSE,34,24.200685,56.4302023809524,-1,-0.156669999999998,1,0.156669999999998,TRUE
"P010",3,32.5,32,24.271505,56.5988214285714,FALSE,33,24.188375,56.4008928571429,1,-0.0831300000000006,1,0.0831300000000006,TRUE
"P035",4,10,11,18.90833,43.8293571428571,FALSE,12,18.83633,43.6579285714286,1,-0.0719999999999992,1,0.0719999999999992,TRUE
"P004",3,32.5,31,24.122685,56.2444880952381,FALSE,32,24.187815,56.3995595238095,1,0.0651299999999999,1,0.0651299999999999,TRUE
"P037",3.5,21.5,21,21.31205,49.5525,FALSE,22,21.35989,49.6664047619048,1,0.0478400000000008,1,0.0478400000000008,TRUE
"P016",4,10,10,18.77507,43.5120714285714,FALSE,11,18.734585,43.4156785714286,1,-0.0404850000000003,1,0.0404850000000003,TRUE
"P026",3,32.5,37,25.91839,60.5199761904762,FALSE,37,24.68449,57.582119047619,0,-1.2339,0,1.2339,FALSE
"P022",5,1,1,11.852955,27.0308452380952,TRUE,1,13.079265,29.950630952381,0,1.22631,0,1.22631,FALSE
"P036",4,10,15,20.033775,46.5089880952381,FALSE,15,19.071145,44.2170119047619,0,-0.962629999999997,0,0.962629999999997,FALSE
