"id_proposal","rank","avg_grade","er","rank_pm","pcer","qualifies_original"
"P022",1,5,11.852955,1,27.0308452380952,TRUE
"P023",3,4.5,15.44817,2,35.590880952381,TRUE
"P032",3,4.5,15.489685,3,35.6897261904762,TRUE
"P041",3,4.5,16.503935,4,38.1046071428571,TRUE
"P028",10,4,17.94198,5,41.5285238095238,FALSE
"P040",10,4,18.10519,7,41.917119047619,FALSE
"P034",10,4,18.221225,6,42.1933928571429,FALSE
"P009",10,4,18.307745,8,42.3993928571429,FALSE
"P029",10,4,18.33408,9,42.4620952380952,FALSE
"P016",10,4,18.77507,10,43.5120714285714,FALSE
"P038",10,4,18.831785,12,43.6471071428571,FALSE
"P035",10,4,18.90833,11,43.8293571428571,FALSE
"P012",10,4,19.49293,14,45.2212619047619,FALSE
"P017",10,4,19.52195,13,45.2903571428571,FALSE
"P036",10,4,20.033775,15,46.5089880952381,FALSE
"P039",21.5,3.5,20.384435,16,47.3438928571429,FALSE
"P003",21.5,3.5,20.77295,17,48.2689285714286,FALSE
"P024",21.5,3.5,20.839125,18,48.4264880952381,FALSE
"P030",21.5,3.5,20.90321,19,48.5790714285714,FALSE
"P020",21.5,3.5,21.14026,22,49.1434761904762,FALSE
"P014",21.5,3.5,21.214425,20,49.3200595238095,FALSE
"P037",21.5,3.5,21.31205,21,49.5525,FALSE
"P002",21.5,3.5,21.408815,23,49.7828928571429,FALSE
"P018",21.5,3.5,21.54479,24,50.1066428571429,FALSE
"P011",21.5,3.5,21.88793,25,50.9236428571429,FALSE
"P031",21.5,3.5,21.935955,26,51.0379880952381,FALSE
"P027",32.5,3,22.481025,27,52.3357738095238,FALSE
"P033",21.5,3.5,22.58491,28,52.583119047619,FALSE
"P001",32.5,3,23.492575,29,54.7442261904762,FALSE
"P025",32.5,3,24.021225,30,56.0029166666667,FALSE
"P004",32.5,3,24.122685,31,56.2444880952381,FALSE
"P010",32.5,3,24.271505,32,56.5988214285714,FALSE
"P021",32.5,3,24.357355,35,56.8032261904762,FALSE
"P006",32.5,3,24.365485,34,56.8225833333333,FALSE
"P007",32.5,3,24.429455,33,56.9748928571429,FALSE
"P042",32.5,3,24.571395,36,57.3128452380952,FALSE
"P026",32.5,3,25.91839,37,60.5199761904762,FALSE
"P013",39.5,2.5,25.95185,38,60.5996428571429,FALSE
"P015",39.5,2.5,26.264375,39,61.34375,FALSE
"P008",39.5,2.5,27.76836,40,64.9246666666667,FALSE
"P019",39.5,2.5,28.12426,41,65.7720476190476,FALSE
"P005",42,1.5,31.1624,42,73.0057142857143,FALSE
