"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"proposal_intercept[1]",-0.934461,-0.2265835,0.27965,-0.269372550003166,0.316400260757751,NA,0.00322975262311491,1,9597,0.173071490676992,1.00059688015238
"proposal_intercept[2]",-0.599109,-0.01642055,0.513361,-0.0307278312122775,0.270712466249903,NA,0.00137559351267039,0.5,38729,0.00241324286100824,1.00007918182502
"proposal_intercept[3]",-0.828498,-0.157135,0.33026,-0.197262637929787,0.296264902885431,NA,0.00270765548877481,0.9,11972,0.106587745210717,1.00030851016236
"proposal_intercept[4]",-0.799724,-0.142252,0.350709,-0.179583727155792,0.290328424639846,NA,0.00247306836048082,0.9,13782,0.0860304086547168,1.0004176612011
"proposal_intercept[5]",-1.04251,-0.300414,0.203827,-0.340639772688718,0.335425486455618,NA,0.00432710877275706,1.3,6009,0.242219612192606,1.00055254147984
"proposal_intercept[6]",-0.649679,-0.04520405,0.480212,-0.068817467354753,0.276087113575039,NA,0.00152276497036942,0.6,32872,0.0164725121082222,1.00023499728491
"proposal_intercept[7]",-0.713319,-0.0966825,0.417569,-0.1294831764288,0.280444769498752,NA,0.00202145503352727,0.7,19247,0.0456723273548905,1.00027548926771
"proposal_intercept[8]",-0.721117,-0.09214265,0.416618,-0.126662397420428,0.282877804520651,NA,0.00185616399770142,0.7,23225,0.0541237305065869,1.00028215095544
"proposal_intercept[9]",-0.341202,0.155739,0.815729,0.194291509385597,0.292710308772281,NA,0.00266957156835424,0.9,12022,0.0966960108314414,1.0005512828497
"proposal_intercept[10]",-0.617314,-0.0337421,0.494042,-0.0534289442960433,0.271894375757726,NA,0.00137397305598042,0.5,39160,0.00617814068425908,1.00019741657535
"proposal_intercept[11]",-0.509721,0.0231092,0.603722,0.0383508646754955,0.271785366644542,NA,0.00142254135360894,0.5,36502,0.00570444155613236,1.00022311532165
"proposal_intercept[12]",-0.37256,0.129852,0.769682,0.167913066802248,0.287589674246458,NA,0.00239981945846755,0.8,14361,0.0792488368332246,1.00029276495854
"proposal_intercept[13]",-0.661444,-0.05032695,0.465728,-0.0755747551090213,0.2757587619133,NA,0.00158865158575014,0.6,30130,0.0180576463064782,1.00015769226162
"proposal_intercept[14]",-0.5084,0.02389705,0.596745,0.0382445881514497,0.270972632288187,NA,0.00136178875304877,0.5,39594,0.00206417453236036,1.00016988919505
"proposal_intercept[15]",-0.776183,-0.1390545,0.36934,-0.176197226772101,0.288184636125793,NA,0.00234460214063969,0.8,15108,0.0791914581979331,1.00055833955401
"proposal_intercept[16]",-0.291364,0.1916635,0.877233,0.233750087873103,0.303210534620864,NA,0.00321480245073024,1.1,8896,0.141420048109665,1.00028898927054
"proposal_intercept[17]",-0.454503,0.0587122,0.6684,0.0852774134026885,0.276322553033803,NA,0.00153003167993431,0.6,32616,0.0189170748160014,1.00023809740502
"proposal_intercept[18]",-0.588155,-0.00625314,0.519005,-0.0146746153660694,0.270454506812713,NA,0.00134234033335735,0.5,40594,-0.00313914862083361,1.00012855806816
"proposal_intercept[19]",-1.08993,-0.3299445,0.199163,-0.371454444486676,0.349677195873717,NA,0.00465898212495234,1.3,5633,0.264840062650004,1.0007149419563
"proposal_intercept[20]",-0.785449,-0.1344815,0.368877,-0.170964771332056,0.289960589674114,NA,0.00230275856917058,0.8,15856,0.0811693596992177,1.00028991329262
"proposal_intercept[21]",-1.01047,-0.2933145,0.23402,-0.335463612020573,0.332377875359455,NA,0.00441314632411376,1.3,5672,0.23402655256171,1.00060582391224
"proposal_intercept[22]",-0.184781,0.391898,1.17937,0.433067804639094,0.375381464202865,NA,0.0053850110724924,1.4,4859,0.321378207650928,1.00090970907889
"proposal_intercept[23]",-0.390045,0.10342,0.730556,0.13643223606891,0.281055254272993,NA,0.00194722546387011,0.7,20833,0.0548318793938136,1.00023650865262
"proposal_intercept[24]",-0.586053,-0.0117526,0.526545,-0.0214907399772265,0.271712237600507,NA,0.00133922835793543,0.5,41163,0.00744445347256681,1.00019118721709
"proposal_intercept[25]",-0.76543,-0.116865,0.389884,-0.154340560500664,0.289230171586856,NA,0.0022057118813783,0.8,17195,0.069748889826208,1.00038140573856
"proposal_intercept[26]",-0.783119,-0.126284,0.37633,-0.162805480390652,0.290485578093923,NA,0.00230085428724206,0.8,15939,0.0799167960344733,1.00040898701274
"proposal_intercept[27]",-0.49326,0.0383329,0.630766,0.060369676999695,0.273398449603574,NA,0.00152033453628687,0.6,32338,0.0204585725832535,1.00029608381067
"proposal_intercept[28]",-0.450171,0.0718969,0.676621,0.102418987967056,0.277169182495546,NA,0.00162902246593584,0.6,28949,0.0297908837733626,1.00014375994924
"proposal_intercept[29]",-0.265968,0.227857,0.94595,0.269551086253747,0.315343746803906,NA,0.00355937892005281,1.1,7849,0.177394212146611,1.0010574891762
"proposal_intercept[30]",-0.660204,-0.04559075,0.473799,-0.0698240382177502,0.275689229405217,NA,0.00153687258597785,0.6,32178,0.0185672683117321,1.00029958823592
"proposal_intercept[31]",-0.579757,-0.003961485,0.518328,-0.0111068468152997,0.268227368458878,NA,0.00132424136769956,0.5,41027,0.00173320475044724,1.00014481332723
"proposal_intercept[32]",-0.243897,0.27035,1.01065,0.3117353352503,0.330623441646262,NA,0.0040549671005246,1.2,6648,0.216601149460811,1.00045978446404
"proposal_intercept[33]",-0.632811,-0.0360505,0.497736,-0.0574693249261077,0.275250029831527,NA,0.00146113958453788,0.5,35487,0.015965649580592,1.00024128826265
"proposal_intercept[34]",-0.334642,0.1476765,0.827414,0.186995633703643,0.294988870926746,NA,0.00257090991264396,0.9,13166,0.0979953727598664,1.00041821938236
"proposal_intercept[35]",-0.42091,0.0779074,0.702954,0.108187245452885,0.278915948029002,NA,0.00177365665305775,0.6,24729,0.0357140384944397,1.00015730985836
"proposal_intercept[36]",-0.419148,0.0826254,0.710217,0.116200970959193,0.280263127477678,NA,0.00183798384750249,0.7,23251,0.0474925304234597,1.00010495154701
