"id_proposal","rank","avg_grade","er","rank_pm","pcer","qualifies_original"
"P022",1,4.75,8.771965,1,19.6951547619048,TRUE
"P032",2.5,4.5,11.58992,2,26.4045714285714,TRUE
"P041",2.5,4.5,12.013385,3,27.4128214285714,TRUE
"P040",5.5,4.375,12.19037,4,27.8342142857143,FALSE
"P029",5.5,4.375,12.742545,5,29.1489166666667,FALSE
"P038",5.5,4.375,13.735905,7,31.5140595238095,FALSE
"P016",5.5,4.375,13.745325,6,31.5364880952381,FALSE
"P009",9,4.125,14.96907,8,34.4501666666667,FALSE
"P034",9,4.125,15.23019,9,35.071880952381,FALSE
"P012",9,4.125,15.73854,10,36.2822380952381,FALSE
"P023",11.5,4,16.804245,11,38.819630952381,TRUE
"P036",11.5,4,17.56554,12,40.6322380952381,FALSE
"P035",14,3.875,17.78419,13,41.1528333333333,FALSE
"P039",16.5,3.75,17.89533,14,41.4174523809524,FALSE
"P028",14,3.875,18.005545,15,41.679869047619,FALSE
"P017",14,3.875,18.5032,16,42.8647619047619,FALSE
"P027",18.5,3.625,19.47982,17,45.1900476190476,FALSE
"P014",18.5,3.625,20.117315,18,46.7078928571429,FALSE
"P011",16.5,3.75,20.213795,19,46.9376071428571,FALSE
"P037",22.5,3.5,21.6487,20,50.3540476190476,FALSE
"P031",22.5,3.5,21.893425,21,50.9367261904762,FALSE
"P018",22.5,3.5,21.97987,22,51.1425476190476,FALSE
"P024",22.5,3.5,22.31368,23,51.9373333333333,FALSE
"P002",22.5,3.5,22.555025,24,52.5119642857143,FALSE
"P010",26.5,3.375,23.46713,25,54.6836428571429,FALSE
"P033",22.5,3.5,23.58478,26,54.9637619047619,FALSE
"P030",29,3.25,23.94605,27,55.8239285714286,FALSE
"P006",26.5,3.375,23.990055,28,55.9287023809524,FALSE
"P013",29,3.25,24.16348,29,56.341619047619,FALSE
"P008",29,3.25,25.922915,30,60.53075,FALSE
"P007",31.5,3.125,25.97748,31,60.6606666666667,FALSE
"P025",34.5,3,26.769245,32,62.5458214285714,FALSE
"P026",31.5,3.125,27.15049,33,63.4535476190476,FALSE
"P020",34.5,3,27.31867,34,63.8539761904762,FALSE
"P015",34.5,3,27.535975,35,64.371369047619,FALSE
"P004",34.5,3,27.70357,36,64.7704047619048,FALSE
"P003",37,2.875,28.108975,37,65.7356547619048,FALSE
"P001",38,2.625,30.32849,38,71.0202142857143,FALSE
"P021",40.5,2.5,32.09218,39,75.2194761904762,FALSE
"P042",40.5,2.5,32.13985,40,75.3329761904762,FALSE
"P005",40.5,2.5,32.328655,41,75.7825119047619,FALSE
"P019",40.5,2.5,32.985115,42,77.3455119047619,FALSE
