"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"proposal_intercept[1]",-0.61325,-0.02147085,0.433784,-0.0558160184660605,0.246256593896017,NA,0.00157870890697725,0.6,24332,0.0387048675818608,1.00007941208465
"proposal_intercept[2]",-0.517655,0.00173211,0.507767,0.0060995266891705,0.238618369451605,NA,0.00117932184465017,0.5,40940,-0.000145793721856355,1.00018441181588
"proposal_intercept[3]",-0.505282,0.0009167875,0.518648,0.00659038913382808,0.239171940480106,NA,0.00120180659054383,0.5,39605,-0.000160565393795816,1.00019778799376
"proposal_intercept[4]",-0.65212,-0.0269052,0.386039,-0.0663409403858097,0.245556056746053,NA,0.0016222214565788,0.7,22913,0.0465403863551939,1.00028106666403
"proposal_intercept[5]",-1.04517,-0.163291,0.223123,-0.269726596731707,0.349302958761641,NA,0.00575127166094054,1.6,3689,0.401073148276577,1.00099060107997
"proposal_intercept[6]",-0.638203,-0.02570355,0.409778,-0.0653789479580602,0.246025944545682,NA,0.00167177323894448,0.7,21657,0.0467478717076924,1.00031306742131
"proposal_intercept[7]",-0.620958,-0.0288856,0.42888,-0.0700026567578137,0.248054735473967,NA,0.00183645050101942,0.7,18245,0.0483561347946037,1.00012631822749
"proposal_intercept[8]",-0.753891,-0.0713098,0.343534,-0.141421116065118,0.275180573223768,NA,0.00301214800078914,1.1,8346,0.183483216387159,1.00056350673904
"proposal_intercept[9]",-0.413089,0.02932205,0.626836,0.0708149044230912,0.246414764550804,NA,0.00186866142669511,0.8,17389,0.0591820597506877,1.00035803525611
"proposal_intercept[10]",-0.621632,-0.02754615,0.42574,-0.0665535798040107,0.246545548479269,NA,0.00177898223432967,0.7,19207,0.0478998460805652,1.00016015665205
"proposal_intercept[11]",-0.507143,-0.000183435,0.513517,-0.00191329343718762,0.236236277649667,NA,0.00122602629830501,0.5,37127,0.00442190818859661,1.00023217320084
"proposal_intercept[12]",-0.436544,0.02627145,0.620863,0.0648652072309245,0.247798129494876,NA,0.00173898230142351,0.7,20305,0.0452118278467739,1.00037127352218
"proposal_intercept[13]",-0.741076,-0.06200625,0.337842,-0.125812817982012,0.265944977550409,NA,0.00283997747897546,1.1,8769,0.151614587183304,1.00045736541731
"proposal_intercept[14]",-0.510793,0.000969287,0.527404,0.00292429988656741,0.239450520206124,NA,0.0011893624443876,0.5,40532,7.58520698869514e-05,1.00020402195118
"proposal_intercept[15]",-0.775294,-0.0666703,0.322739,-0.131432761352505,0.269366607205745,NA,0.00289123901513105,1.1,8680,0.154004060202347,1.00047840453341
"proposal_intercept[16]",-0.413589,0.02851965,0.633134,0.0706590617729045,0.248137811992908,NA,0.0018347189399127,0.7,18291,0.0534575260015966,1.00020259589303
"proposal_intercept[17]",-0.419703,0.02619025,0.617911,0.0638016501191241,0.24511077482037,NA,0.00169605971695614,0.7,20885,0.046983611889487,1.00038477966419
"proposal_intercept[18]",-0.498213,0.000549285,0.517666,0.000997923564123506,0.236573861744894,NA,0.00116791852327722,0.5,41031,0.00115484820403598,1.00022711112098
"proposal_intercept[19]",-0.792499,-0.0745417,0.327373,-0.147814365231,0.279625723651828,NA,0.00323648908811603,1.2,7465,0.193767584551513,1.00055045379504
"proposal_intercept[20]",-0.510133,0.001109635,0.513044,0.00408365494242275,0.237274875458959,NA,0.00121674635898255,0.5,38028,0.00199465534928819,1.00036828275238
"proposal_intercept[21]",-0.626107,-0.0284411,0.412455,-0.0688676874270303,0.244662395404763,NA,0.00188262689292179,0.8,16889,0.0460964885206022,1.00059592168088
"proposal_intercept[22]",-0.254114,0.1332065,0.975803,0.230528381639828,0.325620441696781,NA,0.00503913476138328,1.5,4176,0.34515604558773,1.00039145072934
"proposal_intercept[23]",-0.320007,0.0745532,0.786715,0.146714979423547,0.276625663349749,NA,0.00338368814833583,1.2,6684,0.187026997539982,1.0002824039315
"proposal_intercept[24]",-0.517096,0.00303435,0.513282,0.0085364481047545,0.238391427170669,NA,0.00119333305041414,0.5,39908,-0.00155447598245972,1.00039120126482
"proposal_intercept[25]",-0.619568,-0.0267255,0.421647,-0.064863149225009,0.245860658988616,NA,0.00169412008971648,0.7,21062,0.0434789158082531,1.00044452066076
"proposal_intercept[26]",-0.651557,-0.0335117,0.394372,-0.080934606509572,0.251047209346195,NA,0.00193485145872775,0.8,16835,0.0729986822104649,1.00041730986711
"proposal_intercept[27]",-0.619052,-0.01984225,0.429765,-0.051669221844863,0.245048033290043,NA,0.00148357920885502,0.6,27282,0.0334715815899638,1.00028889085143
