"id_proposal","rank","avg_grade","er","rank_pm","pcer","qualifies_original"
"P022",1,5,13.079265,1,29.950630952381,TRUE
"P032",3,4.5,15.870785,2,36.5971071428571,TRUE
"P023",3,4.5,15.87305,3,36.6025,TRUE
"P041",3,4.5,16.21879,4,37.4256904761905,TRUE
"P028",10,4,18.38988,5,42.5949523809524,FALSE
"P040",10,4,18.433855,6,42.6996547619048,FALSE
"P034",10,4,18.48697,7,42.826119047619,FALSE
"P029",10,4,18.49604,8,42.8477142857143,FALSE
"P009",10,4,18.576795,9,43.0399880952381,FALSE
"P038",10,4,18.720435,10,43.3819880952381,FALSE
"P016",10,4,18.734585,11,43.4156785714286,FALSE
"P035",10,4,18.83633,12,43.6579285714286,FALSE
"P012",10,4,18.90756,13,43.8275238095238,FALSE
"P017",10,4,18.94728,14,43.9220952380952,FALSE
"P036",10,4,19.071145,15,44.2170119047619,FALSE
"P039",21.5,3.5,21.03277,16,48.8875476190476,FALSE
"P030",21.5,3.5,21.147555,17,49.1608452380952,FALSE
"P024",21.5,3.5,21.2171,18,49.3264285714286,FALSE
"P020",21.5,3.5,21.2364,20,49.372380952381,FALSE
"P003",21.5,3.5,21.2371,19,49.3740476190476,FALSE
"P014",21.5,3.5,21.349665,23,49.6420595238095,FALSE
"P002",21.5,3.5,21.359385,21,49.6652023809524,FALSE
"P037",21.5,3.5,21.35989,22,49.6664047619048,FALSE
"P018",21.5,3.5,21.45853,24,49.9012619047619,FALSE
"P031",21.5,3.5,21.526115,25,50.0621785714286,FALSE
"P011",21.5,3.5,21.59836,26,50.2341904761905,FALSE
"P033",21.5,3.5,21.81037,27,50.7389761904762,FALSE
"P027",32.5,3,23.59188,28,54.9806666666667,FALSE
"P001",32.5,3,23.85245,29,55.6010714285714,FALSE
"P025",32.5,3,24.11157,30,56.2180238095238,FALSE
"P006",32.5,3,24.13848,31,56.2820952380952,FALSE
"P004",32.5,3,24.187815,32,56.3995595238095,FALSE
"P010",32.5,3,24.188375,33,56.4008928571429,FALSE
"P021",32.5,3,24.200685,34,56.4302023809524,FALSE
"P007",32.5,3,24.28193,35,56.6236428571429,FALSE
"P042",32.5,3,24.294145,36,56.6527261904762,FALSE
"P026",32.5,3,24.68449,37,57.582119047619,FALSE
"P013",39.5,2.5,26.48936,38,61.8794285714286,FALSE
"P015",39.5,2.5,26.63548,39,62.2273333333333,FALSE
"P008",39.5,2.5,27.09459,40,63.3204523809524,FALSE
"P019",39.5,2.5,27.237455,41,63.6606071428571,FALSE
"P005",42,1.5,31.03529,42,72.7030714285714,FALSE
