"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"proposal_intercept[1]",-0.604119,-0.01869045,0.415063,-0.055017639919793,0.237250782850203,NA,0.00160765241036559,0.7,21779,0.0377014609433711,1.00009009798453
"proposal_intercept[2]",-0.501952,0.0012513,0.508984,0.00436957968661375,0.233747634932464,NA,0.00117549505555658,0.5,39541,0.00290483120873754,1.00001357299295
"proposal_intercept[3]",-0.500628,0.001633645,0.510393,0.0066810485315125,0.232138490357918,NA,0.00116115071369192,0.5,39968,-0.00118107423963642,1.00007355073982
"proposal_intercept[4]",-0.634951,-0.02017945,0.402937,-0.0614513999007797,0.242601308843236,NA,0.00178514277319501,0.7,18469,0.0526488551199703,1.0001482890411
"proposal_intercept[5]",-1.04967,-0.1441,0.230775,-0.259779085621436,0.350324701622699,NA,0.00658065977438244,1.9,2834,0.427325083094765,1.00014469071971
"proposal_intercept[6]",-0.624157,-0.02251635,0.403557,-0.0636306589252514,0.240278599158348,NA,0.00176667484140781,0.7,18498,0.0547363040689507,0.999982833776685
"proposal_intercept[7]",-0.60857,-0.02341695,0.406319,-0.066392747113727,0.23980920680736,NA,0.00186422652937235,0.8,16548,0.0605402666732576,1.00004227476671
"proposal_intercept[8]",-0.763066,-0.0625098,0.321338,-0.138052389642132,0.270461280756839,NA,0.00345376224131354,1.3,6132,0.199341773752736,1.00008822129688
"proposal_intercept[9]",-0.381914,0.02573995,0.641944,0.0712970947853628,0.242333770061805,NA,0.00196394755985828,0.8,15225,0.0650348952143308,1.00001625660301
"proposal_intercept[10]",-0.614502,-0.0215866,0.405644,-0.0614792287981367,0.238989495286906,NA,0.00173179458030138,0.7,19044,0.0491346820983164,1.00009041078173
"proposal_intercept[11]",-0.510289,-0.000255057,0.499859,-0.00173474989637616,0.231812559885971,NA,0.00115399727164292,0.5,40352,0.00180340377377498,1.00010597756181
"proposal_intercept[12]",-0.404701,0.02067315,0.617473,0.0612121416952553,0.240023476680117,NA,0.00166388901781231,0.7,20809,0.0516048927617831,0.999977429307041
