"id_proposal","rank","avg_grade","er","rank_pm","pcer","qualifies_original"
"P022",1,5,13.362645,1,30.6253452380952,TRUE
"P032",3,4.5,16.041695,2,37.0040357142857,TRUE
"P023",3,4.5,16.06335,3,37.0555952380952,TRUE
"P041",3,4.5,16.36845,4,37.7820238095238,TRUE
"P040",10,4,18.482125,6,42.8145833333333,FALSE
"P028",10,4,18.5255,5,42.9178571428571,FALSE
"P029",10,4,18.58169,7,43.0516428571429,FALSE
"P034",10,4,18.61275,8,43.1255952380952,FALSE
"P009",10,4,18.671255,9,43.2648928571429,FALSE
"P038",10,4,18.79668,10,43.5635238095238,FALSE
"P016",10,4,18.815385,11,43.6080595238095,FALSE
"P035",10,4,18.866075,12,43.72875,FALSE
"P012",10,4,18.97319,13,43.9837857142857,FALSE
"P017",10,4,18.998335,14,44.0436547619048,FALSE
"P036",10,4,19.17532,15,44.4650476190476,FALSE
"P039",21.5,3.5,21.051,16,48.9309523809524,FALSE
"P030",21.5,3.5,21.22056,17,49.3346666666667,FALSE
"P024",21.5,3.5,21.230675,18,49.35875,FALSE
"P020",21.5,3.5,21.23705,20,49.3739285714286,FALSE
"P003",21.5,3.5,21.262155,19,49.4337023809524,FALSE
"P014",21.5,3.5,21.34937,23,49.6413571428571,FALSE
"P037",21.5,3.5,21.369375,22,49.6889880952381,FALSE
"P002",21.5,3.5,21.37421,21,49.7005,FALSE
"P018",21.5,3.5,21.48275,24,49.9589285714286,FALSE
"P011",21.5,3.5,21.596845,26,50.2305833333333,FALSE
"P031",21.5,3.5,21.61409,25,50.2716428571429,FALSE
"P033",21.5,3.5,21.76245,27,50.624880952381,FALSE
"P027",32.5,3,23.53374,28,54.8422380952381,FALSE
"P001",32.5,3,23.777235,29,55.4219880952381,FALSE
"P025",32.5,3,24.007585,30,55.9704404761905,FALSE
"P004",32.5,3,24.05543,32,56.0843571428571,FALSE
"P010",32.5,3,24.075035,31,56.1310357142857,FALSE
"P006",32.5,3,24.132355,33,56.2675119047619,FALSE
"P021",32.5,3,24.154,34,56.3190476190476,FALSE
"P007",32.5,3,24.189645,36,56.4039166666667,FALSE
"P042",32.5,3,24.196365,35,56.4199166666667,FALSE
"P026",32.5,3,24.6124,37,57.4104761904762,FALSE
"P013",39.5,2.5,26.294385,38,61.4152023809524,FALSE
"P015",39.5,2.5,26.377725,39,61.613630952381,FALSE
"P008",39.5,2.5,26.92234,40,62.9103333333333,FALSE
"P019",39.5,2.5,26.981795,41,63.0518928571429,FALSE
"P005",42,1.5,30.80499,42,72.1547380952381,FALSE
