"id_proposal","rank_pm_baseline","er_baseline","qualifies_original","rank_pm_halfnormal","er_halfnormal","delta_rank_pm","abs_delta_rank_pm","delta_er","abs_delta_er"
"P022",1,13.079265,TRUE,1,13.362645,0,0,0.283380000000001,0.283380000000001
"P015",39,26.63548,FALSE,39,26.377725,0,0,-0.257755,0.257755
"P019",41,27.237455,FALSE,41,26.981795,0,0,-0.255659999999999,0.255659999999999
"P005",42,31.03529,FALSE,42,30.80499,0,0,-0.2303,0.2303
"P013",38,26.48936,FALSE,38,26.294385,0,0,-0.194975000000003,0.194975000000003
"P023",3,15.87305,TRUE,3,16.06335,0,0,0.190300000000001,0.190300000000001
"P008",40,27.09459,FALSE,40,26.92234,0,0,-0.172250000000002,0.172250000000002
"P032",2,15.870785,TRUE,2,16.041695,0,0,0.170910000000001,0.170910000000001
"P041",4,16.21879,TRUE,4,16.36845,0,0,0.149660000000001,0.149660000000001
"P028",5,18.38988,FALSE,5,18.5255,0,0,0.135619999999999,0.135619999999999
"P004",32,24.187815,FALSE,32,24.05543,0,0,-0.132384999999999,0.132384999999999
"P034",7,18.48697,FALSE,8,18.61275,1,1,0.125779999999999,0.125779999999999
"P010",33,24.188375,FALSE,31,24.075035,-2,2,-0.113340000000001,0.113340000000001
"P036",15,19.071145,FALSE,15,19.17532,0,0,0.104174999999998,0.104174999999998
"P025",30,24.11157,FALSE,30,24.007585,0,0,-0.103985000000002,0.103985000000002
"P042",36,24.294145,FALSE,35,24.196365,-1,1,-0.0977800000000002,0.0977800000000002
"P009",9,18.576795,FALSE,9,18.671255,0,0,0.094459999999998,0.094459999999998
"P007",35,24.28193,FALSE,36,24.189645,1,1,-0.0922850000000004,0.0922850000000004
"P031",25,21.526115,FALSE,25,21.61409,0,0,0.0879750000000001,0.0879750000000001
"P029",8,18.49604,FALSE,7,18.58169,-1,1,0.0856499999999976,0.0856499999999976
"P016",11,18.734585,FALSE,11,18.815385,0,0,0.0808,0.0808
"P038",10,18.720435,FALSE,10,18.79668,0,0,0.0762450000000001,0.0762450000000001
"P001",29,23.85245,FALSE,29,23.777235,0,0,-0.075215,0.075215
"P030",17,21.147555,FALSE,17,21.22056,0,0,0.0730049999999984,0.0730049999999984
"P026",37,24.68449,FALSE,37,24.6124,0,0,-0.0720899999999993,0.0720899999999993
"P012",13,18.90756,FALSE,13,18.97319,0,0,0.0656299999999987,0.0656299999999987
"P027",28,23.59188,FALSE,28,23.53374,0,0,-0.0581399999999981,0.0581399999999981
"P017",14,18.94728,FALSE,14,18.998335,0,0,0.0510550000000016,0.0510550000000016
"P040",6,18.433855,FALSE,6,18.482125,0,0,0.0482699999999987,0.0482699999999987
"P033",27,21.81037,FALSE,27,21.76245,0,0,-0.0479199999999977,0.0479199999999977
"P021",34,24.200685,FALSE,34,24.154,0,0,-0.0466850000000001,0.0466850000000001
"P035",12,18.83633,FALSE,12,18.866075,0,0,0.0297449999999984,0.0297449999999984
"P003",19,21.2371,FALSE,19,21.262155,0,0,0.0250549999999983,0.0250549999999983
"P018",24,21.45853,FALSE,24,21.48275,0,0,0.0242199999999997,0.0242199999999997
"P039",16,21.03277,FALSE,16,21.051,0,0,0.0182299999999991,0.0182299999999991
"P002",21,21.359385,FALSE,21,21.37421,0,0,0.0148250000000019,0.0148250000000019
"P024",18,21.2171,FALSE,18,21.230675,0,0,0.013575000000003,0.013575000000003
"P037",22,21.35989,FALSE,22,21.369375,0,0,0.00948500000000152,0.00948500000000152
"P006",31,24.13848,FALSE,33,24.132355,2,2,-0.00612500000000082,0.00612500000000082
"P011",26,21.59836,FALSE,26,21.596845,0,0,-0.00151500000000127,0.00151500000000127
"P020",20,21.2364,FALSE,20,21.23705,0,0,0.000650000000000261,0.000650000000000261
"P014",23,21.349665,FALSE,23,21.34937,0,0,-0.000295000000001266,0.000295000000001266
