"budget","policy","posterior_mean_A_loss_before","posterior_mean_A_loss_after","posterior_mean_A_reduction","percent_reduction","drawwise_q05_percent","drawwise_q95_percent"
1,"Random",0.113621606373931,0.11331986275679,0.000301743617140989,0.26556887089586,0.0015370466600797,0.406687304238748
1,"Disagreement-targeted",0.113621606373931,0.113320119555558,0.000301486818373803,0.2653428586299,NA,NA
1,"Sequential A-optimal",0.113621606373931,0.113316251950252,0.000305354423679503,0.268746793347186,NA,NA
2,"Random",0.113621606373931,0.113018347835571,0.000603258538360812,0.530936463242276,0.00307766171526012,0.812843914224157
2,"Disagreement-targeted",0.113621606373931,0.113014884422634,0.000606721951297872,0.533984662477958,NA,NA
2,"Sequential A-optimal",0.113621606373931,0.113011164027019,0.000610442346912299,0.53725903584158,NA,NA
3,"Random",0.113621606373931,0.112716885929142,0.000904720444789523,0.796257396513183,0.00462063334571762,1.21720281740137
3,"Disagreement-targeted",0.113621606373931,0.112710023572179,0.000911582801752096,0.802297054973906,NA,NA
3,"Sequential A-optimal",0.113621606373931,0.112706343724052,0.000915262649878992,0.805535741914122,NA,NA
4,"Random",0.113621606373931,0.11241552075065,0.00120608562328129,1.06149319814405,0.0061688143660556,1.62226099569618
4,"Disagreement-targeted",0.113621606373931,0.112405668706674,0.0012159376672574,1.07016412288321,NA,NA
4,"Sequential A-optimal",0.113621606373931,0.112401882830469,0.00121972354346199,1.07349612665029,NA,NA
5,"Random",0.113621606373931,0.112114205121658,0.00150740125227361,1.32668539055214,0.00771379563471244,2.02442037927457
5,"Disagreement-targeted",0.113621606373931,0.112102462371965,0.00151914400196687,1.33702035242076,NA,NA
5,"Sequential A-optimal",0.113621606373931,0.112097584935919,0.00152402143801292,1.34131305360824,NA,NA
6,"Random",0.113621606373931,0.111812962861028,0.0018086435129031,1.5918130104153,0.00926173387086165,2.43025487253072
6,"Disagreement-targeted",0.113621606373931,0.111799302321903,0.00182230405202871,1.60383584617829,NA,NA
6,"Sequential A-optimal",0.113621606373931,0.111793131078689,0.00182847529524244,1.60926724554913,NA,NA
