"replicate","posterior_draw_index","budget","selected_proposal","selected_reviewer","baseline_A_loss","current_A_loss","absolute_A_reduction","drawwise_percent_reduction"
1,2334,1,"P025","R06",1.08739499236865e-06,1.08739497264181e-06,1.97268425349722e-14,1.81413770280491e-06
1,2334,2,"P037","R06",1.08739499236865e-06,1.08739495283419e-06,3.95344545319046e-14,3.63570319979012e-06
1,2334,3,"P030","R04",1.08739499236865e-06,1.08739493295893e-06,5.9409719897367e-14,5.46349029693029e-06
1,2334,4,"P002","R01",1.08739499236865e-06,1.08739491344882e-06,7.89198242770705e-14,7.25769612982686e-06
1,2334,5,"P022","R01",1.08739499236865e-06,1.0873948938195e-06,9.85491532027813e-14,9.06286619806054e-06
1,2334,6,"P023","R01",1.08739499236865e-06,1.08739487409265e-06,1.18275994890721e-13,1.08770038229698e-05
2,1291,1,"P006","R02",0.383636973313112,0.381821142048192,0.00181583126492013,0.47332019362954
2,1291,2,"P042","R01",0.383636973313112,0.380041830428571,0.00359514288454188,0.937121063565382
2,1291,3,"P003","R07",0.383636973313112,0.378232550436868,0.00540442287624393,1.40873358205571
2,1291,4,"P032","R01",0.383636973313112,0.37645301995247,0.00718395336064259,1.87259150196122
2,1291,5,"P014","R06",0.383636973313112,0.374681295985305,0.00895567732780705,2.33441455093999
2,1291,6,"P015","R03",0.383636973313112,0.372834775971993,0.0108021973411193,2.81573416864148
3,2033,1,"P023","R09",0.325755566175135,0.324535916636972,0.0012196495381635,0.374406353967805
3,2033,2,"P007","R04",0.325755566175135,0.323319262672719,0.00243630350241575,0.747893130736537
3,2033,3,"P002","R02",0.325755566175135,0.322095653563753,0.0036599126113821,1.12351498835616
3,2033,4,"P026","R07",0.325755566175135,0.320867481490034,0.00488808468510066,1.5005375786803
3,2033,5,"P025","R03",0.325755566175135,0.319645904340647,0.00610966183448797,1.87553566811603
3,2033,6,"P020","R05",0.325755566175135,0.318428322754406,0.00732724342072866,2.24930720501928
4,3524,1,"P015","R05",0.0424781480769821,0.0424526919754981,2.54561014840365e-05,0.0599275218823171
4,3524,2,"P028","R06",0.0424781480769821,0.0424273327971293,5.08152798527894e-05,0.119626872058307
4,3524,3,"P026","R09",0.0424781480769821,0.0424017950982189,7.63529787631903e-05,0.179746486651955
