"proposal_id","reviewer_id","candidate_id","A_mean","A_median","A_q025","A_q975","D_mean","D_median","D_q025","D_q975","E_mean","E_median","E_q025","E_q975","A_rank","D_rank","E_rank"
"P026","R02",176,0.000305354423679503,0.000107400457254887,1.16669211757769e-09,0.00154133743345197,0.0652031038503707,0.0498374739351986,0.00015764155161339,0.21130239572409,0.00019297853490485,1.38806328751542e-05,4.55787556453275e-11,0.00161722566720908,1,1,18
"P005","R02",29,0.000305339638140604,0.000107399992146228,1.1666916327877e-09,0.00154093866229896,0.0651949002048494,0.0498363386462895,0.000157641548504668,0.211295410097723,0.000284528255183352,2.15322533630817e-05,7.1518663080373e-11,0.00235161552314319,2,3,1
"P015","R02",99,0.000305339638140604,0.000107399992146228,1.1666916327877e-09,0.00154093866229896,0.0651949002048494,0.0498363386462894,0.000157641548504668,0.211295410097723,0.000284528255183351,2.15322533630678e-05,7.15186631386488e-11,0.00235161552314316,3,2,2
"P032","R02",219,0.000305192315040644,0.000107398923182256,1.16669111578596e-09,0.00153977198235137,0.0651801264508983,0.0498351280365345,0.000157641544900324,0.211165929293445,0.000245394710034651,1.94529866812485e-05,6.79401742865657e-11,0.00202221739290152,4,4,5
"P029","R02",198,0.000305192315040644,0.000107398923182256,1.16669111578596e-09,0.00153977198235137,0.0651801264508983,0.0498351280365345,0.000157641544900324,0.211165929293445,0.00024539471003465,1.94529866812364e-05,6.79401742377766e-11,0.00202221739290155,4,5,6
"P034","R02",233,0.000305192315040644,0.000107398923182256,1.16669111578596e-09,0.00153977198235137,0.0651801264508983,0.0498351280365345,0.000157641544900324,0.211165929293445,0.000245394710034649,1.94529866812451e-05,6.79401740778568e-11,0.00202221739290155,4,5,7
"P018","R02",120,0.000304432006732603,0.000107387972440288,1.16669059211233e-09,0.00152656361075254,0.0651372301703202,0.0498271533278248,0.000157641541539869,0.210540069425785,7.63966017580099e-05,5.94681629619877e-06,2.08156324608391e-11,0.000630709907514913,7,7,95
"P005","R03",30,0.000304420101241495,0.000107205325814869,1.16267258889248e-09,0.00153209179344592,0.0650066576101124,0.0497444043782507,0.000157614627804127,0.210456431911939,0.000257964991910068,2.02786949667858e-05,6.85831677990376e-11,0.00210212130269451,8,41,3
"P015","R03",100,0.000304420101241495,0.000107205325814869,1.16267258889248e-09,0.00153209179344592,0.0650066576101123,0.0497444043782506,0.000157614627804128,0.210456431911939,0.000257964991910067,2.02786949667702e-05,6.85831677356796e-11,0.00210212130269454,9,42,4
"P005","R04",31,0.000304385675579457,0.000107204241809965,1.16267252591033e-09,0.00153173861860078,0.0650051235844631,0.0497444042847589,0.000157614627576471,0.210455940798803,0.000218309084520531,1.77912153576792e-05,6.50854090559333e-11,0.00178745592022323,10,43,11
