"proposal_id","reviewer_id","candidate_id","A_mean","A_median","A_q025","A_q975","D_mean","D_median","D_q025","D_q975","E_mean","E_median","E_q025","E_q975","A_rank","D_rank","E_rank"
"P026","R02",176,0.000305354423679503,0.000107400457254887,1.16669211757769e-09,0.00154133743345197,0.0652031038503707,0.0498374739351986,0.00015764155161339,0.21130239572409,0.00019297853490485,1.38806328751542e-05,4.55787556453275e-11,0.00161722566720908,1,1,18
"P015","R02",99,0.000305339638140604,0.000107399992146228,1.1666916327877e-09,0.00154093866229896,0.0651949002048494,0.0498363386462894,0.000157641548504668,0.211295410097723,0.000284528255183351,2.15322533630678e-05,7.15186631386488e-11,0.00235161552314316,3,2,2
"P005","R02",29,0.000305339638140604,0.000107399992146228,1.1666916327877e-09,0.00154093866229896,0.0651949002048494,0.0498363386462895,0.000157641548504668,0.211295410097723,0.000284528255183352,2.15322533630817e-05,7.1518663080373e-11,0.00235161552314319,2,3,1
"P032","R02",219,0.000305192315040644,0.000107398923182256,1.16669111578596e-09,0.00153977198235137,0.0651801264508983,0.0498351280365345,0.000157641544900324,0.211165929293445,0.000245394710034651,1.94529866812485e-05,6.79401742865657e-11,0.00202221739290152,4,4,5
"P029","R02",198,0.000305192315040644,0.000107398923182256,1.16669111578596e-09,0.00153977198235137,0.0651801264508983,0.0498351280365345,0.000157641544900324,0.211165929293445,0.00024539471003465,1.94529866812364e-05,6.79401742377766e-11,0.00202221739290155,4,5,6
"P034","R02",233,0.000305192315040644,0.000107398923182256,1.16669111578596e-09,0.00153977198235137,0.0651801264508983,0.0498351280365345,0.000157641544900324,0.211165929293445,0.000245394710034649,1.94529866812451e-05,6.79401740778568e-11,0.00202221739290155,4,5,7
"P018","R02",120,0.000304432006732603,0.000107387972440288,1.16669059211233e-09,0.00152656361075254,0.0651372301703202,0.0498271533278248,0.000157641541539869,0.210540069425785,7.63966017580099e-05,5.94681629619877e-06,2.08156324608391e-11,0.000630709907514913,7,7,95
"P033","R07",230,0.000304162975271043,0.000107379916717985,1.16669013148903e-09,0.00152515937807988,0.065122411806341,0.0498268867629436,0.000157641539140333,0.210484117901971,1.44680482140931e-06,2.47886466790692e-07,1.5630666337261e-12,9.55242852869323e-06,15,8,275
"P026","R07",181,0.000304211434776705,0.000107390634639674,1.1666907322266e-09,0.00152529054704424,0.0651219945468604,0.0498268907707407,0.00015764154041127,0.21048286154526,8.614330481546e-05,8.71760429953065e-06,3.52701689596075e-11,0.000668930387861843,14,9,91
"P032","R07",223,0.000304161761241545,0.00010737713416179,1.16668981059804e-09,0.00152521892836089,0.065108260561916,0.0498254972121433,0.000157641535145354,0.210480574513256,0.000120915303272559,1.30002770888232e-05,5.44910787050204e-11,0.00093998073915388,16,10,59
"P029","R07",202,0.000304161761241545,0.00010737713416179,1.16668981059804e-09,0.00152521892836089,0.065108260561916,0.0498254972121433,0.000157641535145354,0.210480574513256,0.000120915303272558,1.30002770888892e-05,5.44910788105607e-11,0.000939980739153932,16,11,60
"P034","R07",237,0.000304161761241545,0.00010737713416179,1.16668981059804e-09,0.00152521892836089,0.065108260561916,0.0498254972121433,0.000157641535145354,0.210480574513256,0.000120915303272558,1.30002770889204e-05,5.44910790739879e-11,0.000939980739153934,16,12,61
"P013","R02",86,0.000303946806461323,0.000107371376565382,1.16668959000155e-09,0.00152505819708334,0.0650993124352134,0.0498254083185535,0.000157641534824826,0.210477758810524,0.00011496244874666,1.01447572429195e-05,3.63245880225207e-11,0.00092047042901788,21,13,62
"P033","R02",226,0.000303588961176719,0.000107362879251185,1.1666890954256e-09,0.00151675099938398,0.0650751403588818,0.0498240004664921,0.000157641531811583,0.210383818820072,2.73573570730336e-05,1.19657960444275e-06,3.03934278664416e-12,0.000235198525126241,36,14,181
"P035","R02",240,0.000303576549155795,0.000107362841645928,1.16668909542075e-09,0.00151640562377722,0.0650747629005475,0.0498239987330924,0.000157641531811572,0.210376988818037,4.09760161012186e-05,2.53767811431941e-06,7.64817383144996e-12,0.00034461369054234,37,15,157
