"proposal_id","reviewer_id","candidate_id","A_mean","A_median","A_q025","A_q975","D_mean","D_median","D_q025","D_q975","E_mean","E_median","E_q025","E_q975","A_rank","D_rank","E_rank"
"P005","R02",29,0.000305339638140604,0.000107399992146228,1.1666916327877e-09,0.00154093866229896,0.0651949002048494,0.0498363386462895,0.000157641548504668,0.211295410097723,0.000284528255183352,2.15322533630817e-05,7.1518663080373e-11,0.00235161552314319,2,3,1
"P015","R02",99,0.000305339638140604,0.000107399992146228,1.1666916327877e-09,0.00154093866229896,0.0651949002048494,0.0498363386462894,0.000157641548504668,0.211295410097723,0.000284528255183351,2.15322533630678e-05,7.15186631386488e-11,0.00235161552314316,3,2,2
"P005","R03",30,0.000304420101241495,0.000107205325814869,1.16267258889248e-09,0.00153209179344592,0.0650066576101124,0.0497444043782507,0.000157614627804127,0.210456431911939,0.000257964991910068,2.02786949667858e-05,6.85831677990376e-11,0.00210212130269451,8,41,3
"P015","R03",100,0.000304420101241495,0.000107205325814869,1.16267258889248e-09,0.00153209179344592,0.0650066576101123,0.0497444043782506,0.000157614627804128,0.210456431911939,0.000257964991910067,2.02786949667702e-05,6.85831677356796e-11,0.00210212130269454,9,42,4
"P032","R02",219,0.000305192315040644,0.000107398923182256,1.16669111578596e-09,0.00153977198235137,0.0651801264508983,0.0498351280365345,0.000157641544900324,0.211165929293445,0.000245394710034651,1.94529866812485e-05,6.79401742865657e-11,0.00202221739290152,4,4,5
"P029","R02",198,0.000305192315040644,0.000107398923182256,1.16669111578596e-09,0.00153977198235137,0.0651801264508983,0.0498351280365345,0.000157641544900324,0.211165929293445,0.00024539471003465,1.94529866812364e-05,6.79401742377766e-11,0.00202221739290155,4,5,6
"P034","R02",233,0.000305192315040644,0.000107398923182256,1.16669111578596e-09,0.00153977198235137,0.0651801264508983,0.0498351280365345,0.000157641544900324,0.211165929293445,0.000245394710034649,1.94529866812451e-05,6.79401740778568e-11,0.00202221739290155,4,5,7
"P029","R03",199,0.000303809114765163,0.000107186837363375,1.16267140650597e-09,0.00152523402347416,0.0649560787232708,0.0497361413546363,0.000157614618786231,0.210022944538828,0.000231665800364423,1.87854185567052e-05,6.77413316630196e-11,0.00189184174118201,24,58,8
"P032","R03",220,0.000303809114765163,0.000107186837363375,1.16267140650597e-09,0.00152523402347416,0.0649560787232708,0.0497361413546363,0.000157614618786231,0.210022944538828,0.000231665800364421,1.87854185567018e-05,6.77413318764719e-11,0.00189184174118195,25,59,9
"P034","R03",234,0.000303809114765163,0.000107186837363375,1.16267140650597e-09,0.00152523402347416,0.0649560787232708,0.0497361413546363,0.000157614618786231,0.210022944538828,0.000231665800364421,1.87854185567122e-05,6.77413312388255e-11,0.00189184174118204,25,59,10
"P005","R04",31,0.000304385675579457,0.000107204241809965,1.16267252591033e-09,0.00153173861860078,0.0650051235844631,0.0497444042847589,0.000157614627576471,0.210455940798803,0.000218309084520531,1.77912153576792e-05,6.50854090559333e-11,0.00178745592022323,10,43,11
"P015","R04",101,0.000304385675579457,0.000107204241809965,1.16267252591033e-09,0.00153173861860078,0.0650051235844631,0.0497444042847589,0.000157614627576471,0.210455940798803,0.00021830908452053,1.77912153576862e-05,6.50854090830384e-11,0.00178745592022325,10,44,12
"P029","R04",200,0.000303758592210086,0.000107185707091118,1.16267134351616e-09,0.00152485018903729,0.0649538770856102,0.0497353771191899,0.000157614618558501,0.209994920660025,0.00020745864093586,1.73965578754744e-05,6.22891570923679e-11,0.0017059983469525,27,61,13
"P032","R04",221,0.000303758592210086,0.000107185707091118,1.16267134351616e-09,0.00152485018903729,0.0649538770856102,0.04973537711919,0.000157614618558501,0.209994920660025,0.000207458640935859,1.73965578754848e-05,6.22891566627527e-11,0.00170599834695258,27,61,14
"P034","R04",235,0.000303758592210086,0.000107185707091118,1.16267134351616e-09,0.00152485018903729,0.0649538770856101,0.04973537711919,0.000157614618558501,0.209994920660025,0.000207458640935857,1.73965578754917e-05,6.22891568755274e-11,0.00170599834695258,27,63,15
