"proposal_id","reviewer_id","candidate_id","A_mean","A_median","A_q025","A_q975","D_mean","D_median","D_q025","D_q975","E_mean","E_median","E_q025","E_q975","A_rank","D_rank","E_rank"
"P005","R02",29,0.000315182997871744,0.000113487432805302,2.29199494171294e-09,0.00165398235105429,0.0663931785367072,0.0505429896843208,0.000240751284693061,0.216891815571691,0.00033828419071501,2.12539737693002e-05,6.8423223030257e-11,0.00296000564129037,1,2,2
"P015","R02",99,0.000315182997871744,0.000113487432805302,2.29199494171294e-09,0.00165398235105429,0.0663931785367072,0.0505429896843208,0.000240751284693061,0.216891815571691,0.00033828419071501,2.12539737693071e-05,6.84232230155186e-11,0.00296000564129053,1,3,1
"P026","R02",176,0.000315181889450095,0.000113497110427763,2.29200132121123e-09,0.00165413729345524,0.0664023576661213,0.0505437730786646,0.000240751284831288,0.216994675002413,0.000230304948062501,1.3404009877184e-05,4.22706074326316e-11,0.00194211599795251,3,1,18
"P029","R02",198,0.000315012002683616,0.000113476605844899,2.29198750523248e-09,0.00165362373017004,0.0663758807831424,0.0505421478157264,0.000240751284554416,0.216708864914796,0.000291564524087976,1.97798447703866e-05,6.56430742499315e-11,0.00251404688190084,4,4,6
"P032","R02",219,0.000315012002683616,0.000113476605844899,2.29198750523248e-09,0.00165362373017004,0.0663758807831423,0.0505421478157264,0.000240751284554416,0.216708864914796,0.000291564524087975,1.9779844770397e-05,6.56430741659058e-11,0.00251404688190076,4,6,7
"P034","R02",233,0.000315012002683616,0.000113476605844899,2.29198750523248e-09,0.00165362373017004,0.0663758807831424,0.0505421478157264,0.000240751284554416,0.216708864914796,0.000291564524087976,1.97798447703797e-05,6.56430740710382e-11,0.00251404688190089,6,5,5
"P005","R03",30,0.000314128673286019,0.000113140898803519,2.28006071973934e-09,0.00164781332117778,0.0661907650334559,0.0504307832863169,0.000240715078590772,0.215917110254444,0.000306231611960446,2.04615838701339e-05,6.51565572779993e-11,0.00263661202611818,7,31,3
"P015","R03",100,0.000314128673286019,0.000113140898803519,2.28006071973934e-09,0.00164781332117778,0.0661907650334559,0.0504307832863169,0.000240715078590772,0.215917110254444,0.000306231611960445,2.046158387012e-05,6.51565573179792e-11,0.00263661202611823,7,31,4
"P015","R04",101,0.000314084740470323,0.000113134645943214,2.28006013046841e-09,0.00164762020407538,0.0661889058992709,0.0504307229132359,0.00024071507858996,0.215882791254438,0.00025935615760567,1.7894244814548e-05,6.42848014112461e-11,0.00217792110999218,9,33,12
"P005","R04",31,0.000314084740470323,0.000113134645943214,2.28006013046841e-09,0.00164762020407538,0.0661889058992709,0.0504307229132359,0.00024071507858996,0.215882791254438,0.000259356157605671,1.78942448145585e-05,6.42848015171253e-11,0.0021779211099923,9,34,11
