"proposal_id","reviewer_id","candidate_id","A_mean","A_median","A_q025","A_q975","D_mean","D_median","D_q025","D_q975","E_mean","E_median","E_q025","E_q975","A_rank","D_rank","E_rank"
"P026","R02",176,0.000315181889450095,0.000113497110427763,2.29200132121123e-09,0.00165413729345524,0.0664023576661213,0.0505437730786646,0.000240751284831288,0.216994675002413,0.000230304948062501,1.3404009877184e-05,4.22706074326316e-11,0.00194211599795251,3,1,18
"P005","R02",29,0.000315182997871744,0.000113487432805302,2.29199494171294e-09,0.00165398235105429,0.0663931785367072,0.0505429896843208,0.000240751284693061,0.216891815571691,0.00033828419071501,2.12539737693002e-05,6.8423223030257e-11,0.00296000564129037,1,2,2
"P015","R02",99,0.000315182997871744,0.000113487432805302,2.29199494171294e-09,0.00165398235105429,0.0663931785367072,0.0505429896843208,0.000240751284693061,0.216891815571691,0.00033828419071501,2.12539737693071e-05,6.84232230155186e-11,0.00296000564129053,1,3,1
"P029","R02",198,0.000315012002683616,0.000113476605844899,2.29198750523248e-09,0.00165362373017004,0.0663758807831424,0.0505421478157264,0.000240751284554416,0.216708864914796,0.000291564524087976,1.97798447703866e-05,6.56430742499315e-11,0.00251404688190084,4,4,6
"P034","R02",233,0.000315012002683616,0.000113476605844899,2.29198750523248e-09,0.00165362373017004,0.0663758807831424,0.0505421478157264,0.000240751284554416,0.216708864914796,0.000291564524087976,1.97798447703797e-05,6.56430740710382e-11,0.00251404688190089,6,5,5
"P032","R02",219,0.000315012002683616,0.000113476605844899,2.29198750523248e-09,0.00165362373017004,0.0663758807831423,0.0505421478157264,0.000240751284554416,0.216708864914796,0.000291564524087975,1.9779844770397e-05,6.56430741659058e-11,0.00251404688190076,4,6,7
"P018","R02",120,0.000314028479057145,0.000113414178687011,2.2919811731868e-09,0.00165046321888718,0.0663235977010464,0.0505404053368436,0.000240751284280939,0.216296672328666,9.09030308619157e-05,5.99207541442104e-06,2.00701404358617e-11,0.000770205879375127,11,7,95
"P033","R07",230,0.000313696571348532,0.000113339821315874,2.2919756212038e-09,0.00164959409285492,0.0663057072667783,0.0505401241594072,0.000240751284277301,0.216226568066889,1.63267426147108e-06,2.45960213821061e-07,1.43784495655532e-12,1.08226444562078e-05,18,8,276
"P026","R07",181,0.000313736749789321,0.000113373795373433,2.29197931470731e-09,0.00165033611783871,0.0663049170148115,0.050540127745242,0.00024075128427882,0.216170507641262,0.000101291754309981,8.66082330506883e-06,3.3320587996123e-11,0.000826752465184131,14,9,93
"P032","R07",223,0.000313706452000315,0.000113278271128588,2.29196841148473e-09,0.00164994963384942,0.0662895693444505,0.0505369346719932,0.000240751284003608,0.216109720997337,0.00014148978512619,1.30955847196437e-05,5.1587409075452e-11,0.00112272438746721,15,10,61
"P029","R07",202,0.000313706452000315,0.000113278271128588,2.29196841148473e-09,0.00164994963384942,0.0662895693444505,0.0505369346719933,0.000240751284003608,0.216109720997337,0.000141489785126192,1.30955847196471e-05,5.15874090751132e-11,0.00112272438746727,15,11,59
"P034","R07",237,0.000313706452000315,0.000113278271128588,2.29196841148473e-09,0.00164994963384942,0.0662895693444505,0.0505369346719932,0.000240751284003608,0.216109720997337,0.000141489785126191,1.30955847196506e-05,5.15874090486858e-11,0.00112272438746724,15,12,60
"P013","R02",86,0.00031343574017707,0.0001132479913507,2.29196734787343e-09,0.00164849958474483,0.066278520647889,0.0505364118217058,0.00024075128400393,0.216030362810983,0.000135980882302737,1.03062415640256e-05,3.80210649050035e-11,0.00113451782211466,22,13,64
"P033","R02",226,0.000312979155399925,0.0001131783338625,2.29196167929917e-09,0.00164706045000876,0.066249516927542,0.0505319785968048,0.000240751283731409,0.215801769296464,3.30694772671275e-05,1.15194734281315e-06,2.88448161569251e-12,0.000281950340598308,36,14,178
"P035","R02",240,0.000312962073573331,0.000113177977378811,2.29196167923317e-09,0.00164705986313512,0.0662490222507369,0.0505319700971012,0.000240751283731409,0.215797597897454,4.91236797131353e-05,2.41578917049845e-06,7.33451780450393e-12,0.000409678621931928,39,15,153
